.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3668798011527925, 2.3285271190942174, -0.6871006042558452], limiar atualizado: -2.477363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4546078011527932, 2.357737119094216, -0.7313806042558442], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4586318011527932, 2.362959119094216, -0.6221186042558442], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4507178011527933, 2.3608071190942157, -0.7353646042558442], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4547418011527933, 2.3660291190942155, -0.6261026042558442], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4468278011527933, 2.3638771190942154, -0.7393486042558441], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4508518011527933, 2.3690991190942152, -0.6300866042558442], limiar atualizado: -2.717363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4105538011527934, 2.3567151190942153, -0.8486126042558442], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4145778011527934, 2.361937119094215, -0.7393506042558442], limiar atualizado: -2.717363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4137198011527934, 2.3712571190942153, -0.6307046042558442], limiar atualizado: -2.737363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3734218011527934, 2.3588731190942154, -0.8492306042558442], limiar atualizado: -2.717363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3774458011527935, 2.364095119094215, -0.7399686042558442], limiar atualizado: -2.737363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3765878011527934, 2.3734151190942154, -0.6313226042558442], limiar atualizado: -2.757363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3362898011527935, 2.3610311190942155, -0.8498486042558442], limiar atualizado: -2.737363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3403138011527935, 2.3662531190942153, -0.7405866042558442], limiar atualizado: -2.757363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3394558011527935, 2.3755731190942155, -0.6319406042558442], limiar atualizado: -2.777363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2991578011527936, 2.3631891190942156, -0.8504666042558442], limiar atualizado: -2.757363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3031818011527936, 2.3684111190942154, -0.7412046042558442], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3023238011527936, 2.3777311190942156, -0.6325586042558442], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3313078011527935, 2.3599391190942156, -0.7205686042558442], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3304498011527934, 2.369259119094216, -0.6119226042558442], limiar atualizado: -2.797363535121879
Erro na linha 12: y=1, d=-1.0, pesos atualizados: [1.3207718011527934, 2.359557119094216, -0.7616226042558443], limiar atualizado: -2.777363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3250598011527934, 2.374587119094216, -0.6182246042558442], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3171458011527934, 2.3724351190942157, -0.7314706042558442], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3211698011527935, 2.3776571190942155, -0.6222086042558442], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3501538011527934, 2.3598651190942155, -0.7102186042558443], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3492958011527934, 2.3691851190942157, -0.6015726042558442], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3406158011527933, 2.355445119094216, -0.7661466042558442], limiar atualizado: -2.777363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3479238011527934, 2.376395119094216, -0.6164306042558443], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3400098011527934, 2.3742431190942157, -0.7296766042558442], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3440338011527935, 2.3794651190942155, -0.6204146042558443], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3730178011527934, 2.3616731190942155, -0.7084246042558443], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3721598011527933, 2.3709931190942157, -0.5997786042558443], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3634798011527933, 2.357253119094216, -0.7643526042558443], limiar atualizado: -2.777363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3677678011527934, 2.3722831190942157, -0.6209546042558443], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3598538011527934, 2.3701311190942156, -0.7342006042558442], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3638778011527934, 2.3753531190942154, -0.6249386042558442], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3928618011527933, 2.3575611190942154, -0.7129486042558443], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3920038011527933, 2.3668811190942156, -0.6043026042558443], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3833238011527933, 2.3531411190942157, -0.7688766042558443], limiar atualizado: -2.777363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3906318011527934, 2.3740911190942158, -0.6191606042558442], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3827178011527934, 2.3719391190942156, -0.7324066042558441], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3867418011527934, 2.3771611190942155, -0.6231446042558442], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4157258011527933, 2.3593691190942154, -0.7111546042558442], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4148678011527933, 2.3686891190942156, -0.6025086042558442], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4061878011527933, 2.354949119094216, -0.7670826042558442], limiar atualizado: -2.777363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4104758011527934, 2.3699791190942157, -0.6236846042558442], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4025618011527934, 2.3678271190942155, -0.7369306042558441], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4065858011527934, 2.3730491190942153, -0.6276686042558441], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4355698011527933, 2.3552571190942153, -0.7156786042558442], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4347118011527933, 2.3645771190942155, -0.6070326042558442], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4260318011527933, 2.3508371190942157, -0.7716066042558442], limiar atualizado: -2.777363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4333398011527934, 2.3717871190942157, -0.6218906042558441], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4254258011527934, 2.3696351190942155, -0.735136604255844], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4294498011527934, 2.3748571190942154, -0.6258746042558441], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4584338011527933, 2.3570651190942153, -0.7138846042558441], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4575758011527933, 2.3663851190942156, -0.6052386042558441], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4488958011527933, 2.3526451190942157, -0.7698126042558441], limiar atualizado: -2.777363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4531838011527933, 2.3676751190942156, -0.626414604255844], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4452698011527934, 2.3655231190942154, -0.739660604255844], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4492938011527934, 2.3707451190942153, -0.630398604255844], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4782778011527933, 2.3529531190942152, -0.7184086042558441], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4774198011527933, 2.3622731190942154, -0.609762604255844], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4687398011527932, 2.3485331190942156, -0.774336604255844], limiar atualizado: -2.777363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4760478011527933, 2.3694831190942156, -0.624620604255844], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4681338011527933, 2.3673311190942155, -0.7378666042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4721578011527934, 2.3725531190942153, -0.628604604255844], limiar atualizado: -2.797363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5011418011527933, 2.3547611190942153, -0.716614604255844], limiar atualizado: -2.777363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5002838011527933, 2.3640811190942155, -0.607968604255844], limiar atualizado: -2.797363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4916038011527932, 2.3503411190942156, -0.772542604255844], limiar atualizado: -2.777363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4958918011527933, 2.3653711190942155, -0.629144604255844], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4879778011527933, 2.3632191190942153, -0.7423906042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4920018011527933, 2.368441119094215, -0.6331286042558439], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4840878011527934, 2.366289119094215, -0.7463746042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4881118011527934, 2.371511119094215, -0.6371126042558439], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4801978011527934, 2.3693591190942147, -0.7503586042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4842218011527935, 2.3745811190942145, -0.6410966042558439], limiar atualizado: -2.797363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4763078011527935, 2.3724291190942144, -0.7543426042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4803318011527935, 2.3776511190942142, -0.6450806042558439], limiar atualizado: -2.797363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4400338011527936, 2.3652671190942143, -0.8636066042558439], limiar atualizado: -2.777363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4440578011527936, 2.370489119094214, -0.7543446042558439], limiar atualizado: -2.797363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4431998011527936, 2.3798091190942143, -0.6456986042558439], limiar atualizado: -2.817363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4029018011527936, 2.3674251190942144, -0.8642246042558439], limiar atualizado: -2.797363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4069258011527936, 2.372647119094214, -0.7549626042558439], limiar atualizado: -2.817363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4060678011527936, 2.3819671190942144, -0.6463166042558439], limiar atualizado: -2.837363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3657698011527937, 2.3695831190942145, -0.8648426042558439], limiar atualizado: -2.817363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3697938011527937, 2.3748051190942143, -0.755580604255844], limiar atualizado: -2.837363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3689358011527937, 2.3841251190942145, -0.6469346042558439], limiar atualizado: -2.857363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3286378011527937, 2.3717411190942146, -0.8654606042558439], limiar atualizado: -2.837363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3326618011527938, 2.3769631190942144, -0.756198604255844], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3318038011527937, 2.3862831190942146, -0.6475526042558439], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3607878011527936, 2.3684911190942146, -0.735562604255844], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3599298011527936, 2.377811119094215, -0.626916604255844], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3520158011527936, 2.3756591190942147, -0.7401626042558439], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3560398011527937, 2.3808811190942145, -0.6309006042558439], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3850238011527936, 2.3630891190942145, -0.718910604255844], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3841658011527935, 2.3724091190942147, -0.610264604255844], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3754858011527935, 2.358669119094215, -0.7748386042558439], limiar atualizado: -2.857363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3797738011527936, 2.3736991190942147, -0.6314406042558439], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3718598011527936, 2.3715471190942146, -0.7446866042558439], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3758838011527936, 2.3767691190942144, -0.6354246042558439], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4048678011527935, 2.3589771190942144, -0.7234346042558439], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4040098011527935, 2.3682971190942146, -0.6147886042558439], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3953298011527935, 2.3545571190942147, -0.7793626042558439], limiar atualizado: -2.857363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4026378011527936, 2.3755071190942147, -0.629646604255844], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3947238011527936, 2.3733551190942146, -0.7428926042558439], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3987478011527936, 2.3785771190942144, -0.6336306042558439], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4277318011527935, 2.3607851190942144, -0.721640604255844], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4268738011527935, 2.3701051190942146, -0.612994604255844], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4181938011527935, 2.3563651190942148, -0.777568604255844], limiar atualizado: -2.857363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4224818011527935, 2.3713951190942146, -0.6341706042558439], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4145678011527936, 2.3692431190942145, -0.7474166042558439], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4185918011527936, 2.3744651190942143, -0.6381546042558439], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4475758011527935, 2.3566731190942143, -0.726164604255844], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4467178011527935, 2.3659931190942145, -0.6175186042558439], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4380378011527934, 2.3522531190942146, -0.7820926042558439], limiar atualizado: -2.857363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4453458011527935, 2.3732031190942147, -0.6323766042558439], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4374318011527936, 2.3710511190942145, -0.7456226042558438], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4414558011527936, 2.3762731190942143, -0.6363606042558438], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4704398011527935, 2.3584811190942143, -0.7243706042558439], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4695818011527935, 2.3678011190942145, -0.6157246042558439], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4609018011527934, 2.3540611190942147, -0.7802986042558439], limiar atualizado: -2.857363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4651898011527935, 2.3690911190942145, -0.6369006042558438], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4572758011527935, 2.3669391190942144, -0.7501466042558438], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4612998011527936, 2.3721611190942142, -0.6408846042558438], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4902838011527935, 2.354369119094214, -0.7288946042558438], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4894258011527934, 2.3636891190942144, -0.6202486042558438], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4807458011527934, 2.3499491190942146, -0.7848226042558438], limiar atualizado: -2.857363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4880538011527935, 2.3708991190942146, -0.6351066042558438], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4801398011527935, 2.3687471190942144, -0.7483526042558437], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4841638011527936, 2.3739691190942143, -0.6390906042558437], limiar atualizado: -2.877363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5131478011527935, 2.3561771190942142, -0.7271006042558438], limiar atualizado: -2.857363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5122898011527934, 2.3654971190942145, -0.6184546042558438], limiar atualizado: -2.877363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5036098011527934, 2.3517571190942146, -0.7830286042558438], limiar atualizado: -2.857363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.5078978011527935, 2.3667871190942145, -0.6396306042558437], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4999838011527935, 2.3646351190942143, -0.7528766042558437], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5040078011527935, 2.369857119094214, -0.6436146042558437], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4960938011527936, 2.367705119094214, -0.7568606042558437], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5001178011527936, 2.372927119094214, -0.6475986042558437], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4922038011527936, 2.3707751190942137, -0.7608446042558437], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4962278011527936, 2.3759971190942135, -0.6515826042558437], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4883138011527937, 2.3738451190942134, -0.7648286042558436], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4923378011527937, 2.379067119094213, -0.6555666042558437], limiar atualizado: -2.877363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4844238011527937, 2.376915119094213, -0.7688126042558436], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4884478011527937, 2.382137119094213, -0.6595506042558437], limiar atualizado: -2.877363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4481498011527938, 2.369753119094213, -0.8780766042558437], limiar atualizado: -2.857363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4521738011527938, 2.3749751190942128, -0.7688146042558437], limiar atualizado: -2.877363535121879
Erro na linha 3: y=-1, d=1.0, pesos atualizados: [1.4574258011527939, 2.397927119094213, -0.6128446042558438], limiar atualizado: -2.897363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4487458011527938, 2.384187119094213, -0.7774186042558437], limiar atualizado: -2.877363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.453033801152794, 2.399217119094213, -0.6340206042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.445119801152794, 2.3970651190942127, -0.7472666042558437], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.449143801152794, 2.4022871190942126, -0.6380046042558437], limiar atualizado: -2.897363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4781278011527939, 2.3844951190942125, -0.7260146042558437], limiar atualizado: -2.877363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4772698011527938, 2.3938151190942127, -0.6173686042558437], limiar atualizado: -2.897363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4685898011527938, 2.380075119094213, -0.7819426042558437], limiar atualizado: -2.877363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4728778011527939, 2.3951051190942128, -0.6385446042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.464963801152794, 2.3929531190942126, -0.7517906042558437], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.468987801152794, 2.3981751190942124, -0.6425286042558437], limiar atualizado: -2.897363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4979718011527938, 2.3803831190942124, -0.7305386042558437], limiar atualizado: -2.877363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4971138011527938, 2.3897031190942126, -0.6218926042558437], limiar atualizado: -2.897363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4884338011527938, 2.3759631190942128, -0.7864666042558437], limiar atualizado: -2.877363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4927218011527938, 2.3909931190942126, -0.6430686042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4848078011527939, 2.3888411190942125, -0.7563146042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.488831801152794, 2.3940631190942123, -0.6470526042558437], limiar atualizado: -2.897363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5178158011527938, 2.3762711190942123, -0.7350626042558437], limiar atualizado: -2.877363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5169578011527938, 2.3855911190942125, -0.6264166042558437], limiar atualizado: -2.897363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5082778011527938, 2.3718511190942126, -0.7909906042558437], limiar atualizado: -2.877363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.5155858011527938, 2.3928011190942127, -0.6412746042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5076718011527939, 2.3906491190942125, -0.7545206042558437], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.511695801152794, 2.3958711190942124, -0.6452586042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.503781801152794, 2.393719119094212, -0.7585046042558437], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.507805801152794, 2.398941119094212, -0.6492426042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.499891801152794, 2.396789119094212, -0.7624886042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.503915801152794, 2.4020111190942117, -0.6532266042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.496001801152794, 2.3998591190942116, -0.7664726042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.500025801152794, 2.4050811190942114, -0.6572106042558437], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.492111801152794, 2.4029291190942113, -0.7704566042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.496135801152794, 2.408151119094211, -0.6611946042558436], limiar atualizado: -2.897363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4882218011527941, 2.405999119094211, -0.7744406042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4922458011527941, 2.4112211190942108, -0.6651786042558436], limiar atualizado: -2.897363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4519478011527942, 2.398837119094211, -0.8837046042558436], limiar atualizado: -2.877363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4559718011527942, 2.4040591190942107, -0.7744426042558437], limiar atualizado: -2.897363535121879
Erro na linha 3: y=-1, d=1.0, pesos atualizados: [1.4612238011527943, 2.4270111190942107, -0.6184726042558437], limiar atualizado: -2.917363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4525438011527942, 2.413271119094211, -0.7830466042558437], limiar atualizado: -2.897363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4568318011527943, 2.4283011190942108, -0.6396486042558437], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4489178011527943, 2.4261491190942106, -0.7528946042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4529418011527944, 2.4313711190942104, -0.6436326042558437], limiar atualizado: -2.917363535121879
